"Name,Location,Rating,Review,Price"
"Gardens by the Bay,Singapura,""4,7/5"",506 Review,IDR 107.300"
"Universal Studios Singapore,Singapura,""4,6/5"",446 Review,IDR 805.914"
"Singapore Cable Car,Singapura,""4,8/5"",102 Review,IDR 302.301"
"Singapore Zoo,Singapura,,,IDR 512.740"
"River Wonders Singapore,Singapura,""4,3/5"",14 Review,IDR 66.440"
"S.E.A. Aquarium™,Singapura,""4,7/5"",74 Review,IDR 476.041"
"ArtScience Museum™,Singapura,""4,7/5"",141 Review,IDR 230.325"
"Marina Bay Sands SkyPark Observation Deck,Singapura,""4,7/5"",58 Review,IDR 309.831"
"Jewel Changi Airport Attractions,Singapura,""4,7/5"",78 Review,IDR 66.440"
"FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2023,Singapura,,,IDR 1.527.893"
"Madame Tussauds Singapore,Singapura,""4,5/5"",27 Review,IDR 285.691"
"iFly Singapore,Singapura,,,IDR 985.523"
"Singapore Night Safari,Singapura,""4,6/5"",7 Review,IDR 99.660"
"S.E.A Aquarium & Van Gogh: The Immersive Experience,Singapura,""4,8/5"",4 Review,IDR 761.843"
"Universal Studios Singapore & Van Gogh: The Immersive Experience,Singapura,""4,8/5"",5 Review,IDR 1.190.379"
"Singapore Flyer,Singapura,""4,9/5"",26 Review,IDR 420.674"
"Wings of Time,Singapura,""4,5/5"",41 Review,IDR 147.275"
"Majestic Fast Ferry,Singapura,,,IDR 847.928"
"Adventure Cove Waterpark™‎,Singapura,""5,0/5"",4 Review,IDR 362.097"
"Batam Fast Ferry Tickets (Harbourfront Terminal),Singapura,,,IDR 490.336"
"Batam Fast Ferry Tickets (Tanah Merah Terminal),Singapura,,,IDR 464.154"
"National Orchid Garden,Singapura,""5,0/5"",4 Review,IDR 101.874"
"Skyline Luge Singapore,Singapura,""4,7/5"",76 Review,IDR 333.860"
"Kiztopia Singapore,Singapura,""4,3/5"",3 Review,IDR 134.541"
"Singapore DUCKtours,Singapura,""4,9/5"",20 Review,IDR 443.928"
"SkyHelix Sentosa - Singapore's Highest Open-Air Panoramic Ride,Singapura,""4,0/5"",4 Review,IDR 180.495"
"Rental Modem Wifi by Iziroam - Singapore,Singapura,""4,4/5"",9 Review,IDR 45.000"
"Rental Modem Wifi by Iziroam - Singapore & Malaysia,Singapura,""5,0/5"",3 Review,IDR 65.000"
"COMBO: Marina Bay Sands SkyPark Observation Deck + ArtScience Museum™,Singapura,""4,5/5"",4 Review,IDR 593.529"
"eSIM Singapore by Iziroam,Singapura,,,IDR 35.000"
"NERF Action Xperience,Singapura,""5,0/5"",1 Review,IDR 460.095"
"Sentosa 4D AdventureLand,Singapura,,,IDR 273.510"
"Snow City Singapore,Singapura,""3,3/5"",4 Review,IDR 116.380"
"Trick Eye Museum Singapore,Singapura,""5,0/5"",1 Review,IDR 212.607"
"COMBO: Sentosa 4D Adventureland - (Any 3 Rides) + Trick Eye Museum Singapore,Singapura,,,IDR 571.936"
"National Gallery Singapore,Singapura,""4,8/5"",8 Review,IDR 155.026"
